lat,lon,dep,name,code
-5.75619,-78.52306, "AMAZONAS" , "EL PINTOR", "152204"
-5.89106,-78.18886, "AMAZONAS" , "MAGUNCHAL", "152210"
-10.4,-77.4, "ANCASH" , "OCROS", "155105"
-9.72919,-77.45365, "ANCASH" , "RECUAY", "000441"
-10.15775,-77.43222, "ANCASH" , "MAYORARCA", "150903"
-8.56667,-77.65, "ANCASH" , "SIHUAS", "154111"
-9.43375,-78.20821, "ANCASH" , "BUENA VISTA", "000435"
-9.58528,-77.70719, "ANCASH" , "PIRA", "154110"
-9.53547,-77.77558, "ANCASH" , "CHACCHAN", "154107"
-9.88333,-77.23333, "ANCASH" , "MILPO", "150902"
-13.55222,-72.73472, "APURIMAC" , "CURAHUASI", "000677"
-15.60999,-71.80654, "AREQUIPA" , "MADRIGAL", "157317"
-15.83639,-71.0875, "AREQUIPA" , "IMATA", "000765"
-15.97861,-71.21333, "AREQUIPA" , "PILLONES", "158208"
-15.49428,-71.46378, "AREQUIPA" , "SIBAYO", "000755"
-15.78306,-72.88278, "AREQUIPA" , "YANAQUIHUA", "000864"
-15.13583,-72.75278, "AREQUIPA" , "PULLHUAY (AYAHUASI)", "157309"
-15.21134,-72.89331, "AREQUIPA" , "COTAHUASI", "000749"
-17.07147,-71.72454, "AREQUIPA" , "PAMPA BLANCA", "000837"
-15.5,-72.83333, "AREQUIPA" , "SALAMANCA", "000801"
-15.64528,-72.50222, "AREQUIPA" , "MACHAHUAY", "007308"
-15.57497,-72.12932, "AREQUIPA" , "CHOCO", "157314"
-15.49861,-72.26694, "AREQUIPA" , "CHACHAS", "157312"
-15.67917,-72.27028, "AREQUIPA" , "AYO", "157313"
-15.49333,-72.34889, "AREQUIPA" , "ANDAHUA", "157310"
-16.06917,-72.49028, "AREQUIPA" , "APLAO", "000833"
-16.22833,-73.69417, "AREQUIPA" , "PUNTA ATICO", "000830"
-15.77571,-73.36261, "AREQUIPA" , "CARAVELI", "000746"
-16.58363,-71.92479, "AREQUIPA" , "LA JOYA", "000804"
-16.33565,-72.15266, "AREQUIPA" , "PAMPA DE MAJES", "000805"
-15.73203,-72.10689, "AREQUIPA" , "HUAMBO", "157315"
-15.18255,-71.63457, "AREQUIPA" , "LA ANGOSTURA", "000754"
-15.64164,-71.60173, "AREQUIPA" , "CHIVAY", "000758"
-15.26056,-72.33861, "AREQUIPA" , "ORCOPAMPA", "157311"
-16.15476,-71.1891, "AREQUIPA" , "EL FRAYLE", "000849"
-16.40645,-71.40939, "AREQUIPA" , "CHIGUATA", "000847"
-16.31778,-71.14806, "AREQUIPA" , "LAS SALINAS", "158209"
-16.40506,-71.52334, "AREQUIPA" , "LA PAMPILLA", "000839"
-15.54813,-72.91832, "AREQUIPA" , "CHICHAS", "157300"
-15.35,-71.31667, "AREQUIPA" , "PORPERA", "157329"
-14.69889,-74.13111, "AYACUCHO" , "PUQUIO", "000736"
-15.01139,-73.77917, "AYACUCHO" , "CORACORA", "000743"
-15.18361,-73.35028, "AYACUCHO" , "LAMPA", "157223"
-13.64833,-73.93444, "AYACUCHO" , "VILCASHUAMAN", "156211"
-13.8825,-73.72639, "AYACUCHO" , "CHILCAYOC", "156212"
-15.27528,-73.34111, "AYACUCHO" , "PAUZA", "000745"
-14.62,-74.22, "AYACUCHO" , "LUCANAS", "157206"
-14.13194,-74.94056, "AYACUCHO" , "HUAC-HUAS", "151602"
-14.24639,-74.92556, "AYACUCHO" , "LLAUTA", "157200"
-6.37833,-78.81556, "CAJAMARCA" , "CUTERVO", "000352"
-6.27361,-79.03694, "CAJAMARCA" , "QUEROCOTILLO", "153109"
-6.68778,-78.45694, "CAJAMARCA" , "QUEBRADA SHUGAR", "153108"
-6.67056,-78.73694, "CAJAMARCA" , "CHUGUR", "153208"
-5.67175,-78.89767, "CAJAMARCA" , "LA CASCARILLA", "000349"
